day,value.year
2016-08-08,14.13
2016-08-09,14.13
2016-08-10,14.13
2016-08-11,14.13
2016-08-12,14.13
2016-08-15,14.13
2016-08-16,14.13
2016-08-17,14.13
2016-08-18,14.13
2016-08-19,14.13
2016-08-22,14.13
2016-08-23,14.13
2016-08-24,14.13
2016-08-25,14.13
2016-08-26,14.13
2016-08-29,14.13
2016-08-30,14.13
2016-08-31,14.13
2016-09-01,14.13
2016-09-02,14.13
2016-09-05,14.13
2016-09-06,14.13
2016-09-08,14.13
2016-09-09,14.13
2016-09-12,14.13
2016-09-13,14.13
2016-09-14,14.13
2016-09-15,14.13
2016-09-16,14.13
2016-09-19,14.13
2016-09-20,14.13
2016-09-21,14.13
2016-09-22,14.13
2016-09-23,14.13
2016-09-26,14.13
2016-09-27,14.13
2016-09-28,14.13
2016-09-29,14.13
2016-09-30,14.13
2016-10-03,14.13
2016-10-04,14.13
2016-10-05,14.13
2016-10-06,14.13
2016-10-07,14.13
2016-10-10,14.13
2016-10-11,14.13
2016-10-13,14.13
2016-10-14,14.13
2016-10-17,14.13
2016-10-18,14.13
2016-10-19,14.13
2016-10-20,13.88
2016-10-21,13.88
2016-10-24,13.88
2016-10-25,13.88
2016-10-26,13.88
2016-10-27,13.88
2016-10-28,13.88
2016-10-31,13.88
2016-11-01,13.88
2016-11-03,13.88
2016-11-04,13.88
2016-11-07,13.88
2016-11-08,13.88
2016-11-09,13.88
2016-11-10,13.88
2016-11-11,13.88
2016-11-14,13.88
2016-11-16,13.88
2016-11-17,13.88
2016-11-18,13.88
2016-11-21,13.88
2016-11-22,13.88
2016-11-23,13.88
2016-11-24,13.88
2016-11-25,13.88
2016-11-28,13.88
2016-11-29,13.88
2016-11-30,13.88
2016-12-01,13.63
2016-12-02,13.63
2016-12-05,13.63
2016-12-06,13.63
2016-12-07,13.63
2016-12-08,13.63
2016-12-09,13.63
2016-12-12,13.63
2016-12-13,13.63
2016-12-14,13.63
2016-12-15,13.63
2016-12-16,13.63
2016-12-19,13.63
2016-12-20,13.63
2016-12-21,13.63
2016-12-22,13.63
2016-12-23,13.63
2016-12-26,13.63
2016-12-27,13.63
2016-12-28,13.63
2016-12-29,13.63
2016-12-30,13.63
2017-01-02,13.63
2017-01-03,13.63
2017-01-04,13.63
2017-01-05,13.63
2017-01-06,13.63
2017-01-09,13.63
2017-01-10,13.63
2017-01-11,13.63
2017-01-12,12.88
2017-01-13,12.88
2017-01-16,12.88
2017-01-17,12.88
2017-01-18,12.88
2017-01-19,12.88
2017-01-20,12.88
2017-01-23,12.88
2017-01-24,12.88
2017-01-25,12.88
2017-01-26,12.88
2017-01-27,12.88
2017-01-30,12.88
2017-01-31,12.88
2017-02-01,12.88
2017-02-02,12.88
2017-02-03,12.88
2017-02-06,12.88
2017-02-07,12.88
2017-02-08,12.88
2017-02-09,12.88
2017-02-10,12.88
2017-02-13,12.88
2017-02-14,12.88
2017-02-15,12.88
2017-02-16,12.88
2017-02-17,12.88
2017-02-20,12.88
2017-02-21,12.88
2017-02-22,12.88
2017-02-23,12.13
2017-02-24,12.13
2017-03-01,12.13
2017-03-02,12.13
2017-03-03,12.13
2017-03-06,12.13
2017-03-07,12.13
2017-03-08,12.13
2017-03-09,12.13
2017-03-10,12.13
2017-03-13,12.13
2017-03-14,12.13
2017-03-15,12.13
2017-03-16,12.13
2017-03-17,12.13
2017-03-20,12.13
2017-03-21,12.13
2017-03-22,12.13
2017-03-23,12.13
2017-03-24,12.13
2017-03-27,12.13
2017-03-28,12.13
2017-03-29,12.13
2017-03-30,12.13
2017-03-31,12.13
2017-04-03,12.13
2017-04-04,12.13
2017-04-05,12.13
2017-04-06,12.13
2017-04-07,12.13
2017-04-10,12.13
2017-04-11,12.13
2017-04-12,12.13
2017-04-13,11.13
2017-04-17,11.13
2017-04-18,11.13
2017-04-19,11.13
2017-04-20,11.13
2017-04-24,11.13
2017-04-25,11.13
2017-04-26,11.13
2017-04-27,11.13
2017-04-28,11.13
2017-05-02,11.13
2017-05-03,11.13
2017-05-04,11.13
2017-05-05,11.13
2017-05-08,11.13
2017-05-09,11.13
2017-05-10,11.13
2017-05-11,11.13
2017-05-12,11.13
2017-05-15,11.13
2017-05-16,11.13
2017-05-17,11.13
2017-05-18,11.13
2017-05-19,11.13
2017-05-22,11.13
2017-05-23,11.13
2017-05-24,11.13
2017-05-25,11.13
2017-05-26,11.13
2017-05-29,11.13
2017-05-30,11.13
2017-05-31,11.13
2017-06-01,10.14
2017-06-02,10.14
2017-06-05,10.14
2017-06-06,10.14
2017-06-07,10.14
2017-06-08,10.14
2017-06-09,10.14
2017-06-12,10.14
2017-06-13,10.14
2017-06-14,10.14
2017-06-16,10.14
2017-06-19,10.14
2017-06-20,10.14
2017-06-21,10.14
2017-06-22,10.14
2017-06-23,10.14
2017-06-26,10.14
2017-06-27,10.14
2017-06-28,10.14
2017-06-29,10.14
2017-06-30,10.14
2017-07-03,10.14
2017-07-04,10.14
2017-07-05,10.14
2017-07-06,10.14
2017-07-07,10.14
2017-07-10,10.14
2017-07-11,10.14
2017-07-12,10.14
2017-07-13,10.14
2017-07-14,10.14
2017-07-17,10.14
2017-07-18,10.14
2017-07-19,10.14
2017-07-20,10.14
2017-07-21,10.14
2017-07-24,10.14
2017-07-25,10.14
2017-07-26,10.14
2017-07-27,9.14
2017-07-28,9.14
2017-07-31,9.14
2017-08-01,9.14
2017-08-02,9.14
2017-08-03,9.14
2017-08-04,9.14
2017-08-07,9.14
2017-08-08,9.14
2017-08-09,9.14
2017-08-10,9.14
2017-08-11,9.14
2017-08-14,9.14
2017-08-15,9.14
2017-08-16,9.14
2017-08-17,9.14
2017-08-18,9.14
2017-08-21,9.14
2017-08-22,9.14
2017-08-23,9.14
2017-08-24,9.14
2017-08-25,9.14
2017-08-28,9.14
2017-08-29,9.14
2017-08-30,9.14
2017-08-31,9.14
2017-09-01,9.14
2017-09-04,9.14
2017-09-05,9.14
2017-09-06,9.14
2017-09-08,8.14
