day,value.day
18-08-2025,0.055131
19-08-2025,0.055131
20-08-2025,0.055131
21-08-2025,0.055131
22-08-2025,0.055131
25-08-2025,0.055131
26-08-2025,0.055131
27-08-2025,0.055131
28-08-2025,0.055131
29-08-2025,0.055131
01-09-2025,0.055131
02-09-2025,0.055131
03-09-2025,0.055131
04-09-2025,0.055131
05-09-2025,0.055131
08-09-2025,0.055131
09-09-2025,0.055131
10-09-2025,0.055131
11-09-2025,0.055131
12-09-2025,0.055131
15-09-2025,0.055131
16-09-2025,0.055131
17-09-2025,0.055131
19-09-2025,0.055131
22-09-2025,0.055131
23-09-2025,0.055131
24-09-2025,0.055131
25-09-2025,0.055131
26-09-2025,0.055131
29-09-2025,0.055131
30-09-2025,0.055131
01-10-2025,0.055131
02-10-2025,0.055131
03-10-2025,0.055131
06-10-2025,0.055131
07-10-2025,0.055131
08-10-2025,0.055131
09-10-2025,0.055131
10-10-2025,0.055131
13-10-2025,0.055131
14-10-2025,0.055131
15-10-2025,0.055131
16-10-2025,0.055131
17-10-2025,0.055131
20-10-2025,0.055131
21-10-2025,0.055131
22-10-2025,0.055131
23-10-2025,0.055131
24-10-2025,0.055131
27-10-2025,0.055131
28-10-2025,0.055131
29-10-2025,0.055131
30-10-2025,0.055131
31-10-2025,0.055131
03-11-2025,0.055131
04-11-2025,0.055131
05-11-2025,0.055131
06-11-2025,0.055131
07-11-2025,0.055131
10-11-2025,0.055131
11-11-2025,0.055131
12-11-2025,0.055131
13-11-2025,0.055131
14-11-2025,0.055131
17-11-2025,0.055131
18-11-2025,0.055131
19-11-2025,0.055131
21-11-2025,0.055131
24-11-2025,0.055131
25-11-2025,0.055131
26-11-2025,0.055131
27-11-2025,0.055131
28-11-2025,0.055131
01-12-2025,0.055131
02-12-2025,0.055131
03-12-2025,0.055131
04-12-2025,0.055131
05-12-2025,0.055131
08-12-2025,0.055131
09-12-2025,0.055131
10-12-2025,0.055131
11-12-2025,0.055131
12-12-2025,0.055131
15-12-2025,0.055131
16-12-2025,0.055131
17-12-2025,0.055131
18-12-2025,0.055131
19-12-2025,0.055131
22-12-2025,0.055131
23-12-2025,0.055131
24-12-2025,0.055131
26-12-2025,0.055131
29-12-2025,0.055131
30-12-2025,0.055131
31-12-2025,0.055131
02-01-2026,0.055131
05-01-2026,0.055131
06-01-2026,0.055131
07-01-2026,0.055131
08-01-2026,0.055131
12-01-2026,0.055131
13-01-2026,0.055131
14-01-2026,0.055131
15-01-2026,0.055131
16-01-2026,0.055131
19-01-2026,0.055131
20-01-2026,0.055131
21-01-2026,0.055131
22-01-2026,0.055131
23-01-2026,0.055131
26-01-2026,0.055131
27-01-2026,0.055131
28-01-2026,0.055131
29-01-2026,0.055131
30-01-2026,0.055131
